"","x"
"1",2
"2",0.0799999999999991
"3",8.01066666666667
"4",6.859
"5",3.611
"6",6.96116666666667
"7",-1.03028696685215e-15
"8",3
"9",-7.19424519957101e-16
"10",3.19833333333333
"11",5.089
"12",6.00666666666667
"13",4.479
"14",0.0174999999999991
"15",4.31716666666667
"16",3.03883333333333
"17",3.601
"18",1.08
"19",8.95
"20",-1.10134124042816e-15
"21",8.758
"22",0.999999999999997
"23",1.11333333333333
"24",4.8435
"25",6.99
"26",4.07916666666667
"27",1.98
"28",6.83033333333333
"29",4.539
"30",7.02
"31",6.53316666666667
"32",4.76233333333333
"33",4.08
"34",2.015
"35",5.854
"36",4.18616666666667
"37",5.146
"38",5.0675
"39",2.09633333333333
"40",5.9585
"41",6.865
"42",6.794
"43",3.96
"44",8.723
"45",6.789
"46",6.75866666666667
"47",7.574
"48",3.209
"49",5.80983333333333
"50",5.23766666666667
"51",5.98066666666667
"52",7.25133333333333
"53",7.0435
"54",3.2725
"55",7.75983333333333
"56",2.386
"57",1.05
"58",2.824
"59",4.03383333333333
"60",4.83333333333333
"61",4.3975
"62",0.999999999999999
"63",6.78
"64",0.261
"65",0.392499999999999
"66",0.419999999999999
"67",1.308
"68",8.28583333333333
"69",0.0924999999999992
"70",1.048
"71",5.97083333333333
"72",4.91466666666667
"73",6.6685
"74",7.88
"75",3.7375
"76",5.95583333333333
"77",6.40383333333333
"78",8.72466666666667
"79",2.42183333333333
"80",2.93433333333333
"81",4.95433333333333
"82",5.16833333333333
"83",0.999999999999997
"84",0.542
"85",8.529
"86",1.98866666666667
"87",4.10666666666667
"88",3.60833333333333
"89",5.88
"90",6.97
"91",2.63
"92",0.11
"93",5.87
"94",6.02
"95",2.23583333333333
"96",4.43333333333333
"97",3.5205
"98",7.1245
"99",6.955
"100",4.67416666666667
"101",0.668
"102",6.09333333333333
"103",2.32916666666667
"104",0.1725
"105",6.85116666666667
"106",3.82216666666667
"107",-1.11910480882216e-15
"108",4.99
"109",-1.95399252334028e-16
"110",5.30783333333333
"111",0.694
"112",-1.06581410364015e-15
"113",4.135
"114",4.899
"115",0.999999999999996
"116",6.24716666666667
"117",1.202
"118",1.54366666666666
"119",3.98216666666667
"120",3.57916666666667
"121",3.01
"122",7
"123",2.2745
"124",6.7275
"125",5.88666666666667
"126",3.08666666666667
"127",7.1065
"128",6.98
"129",5.71516666666666
"130",4.133
"131",3.966
"132",4.90766666666667
"133",5.607
"134",0.363999999999999
"135",-3.99680288865056e-16
"136",-6.48370246381091e-16
"137",3
"138",1.08
"139",3.813
"140",3.79733333333333
"141",4.80816666666667
"142",2.9875
"143",3.98
"144",4.93
"145",5.06766666666667
"146",7.42433333333333
"147",6.96
"148",6.31166666666667
"149",2.0525
"150",6.62783333333333
"151",4.77683333333333
"152",3.02
"153",5.16866666666667
"154",5.649
"155",4.44966666666667
"156",3.38283333333333
"157",6.93
"158",4.62266666666667
"159",6.73733333333333
"160",7.72333333333333
"161",3
"162",1.5895
"163",4.3625
"164",4.9535
"165",1.18
"166",3.37416666666667
"167",6.6245
"168",5.85933333333333
"169",3.35933333333333
"170",-5.32907051820075e-16
"171",2.72633333333333
"172",6.77
"173",7.54333333333333
"174",5.914
"175",1.08
"176",2.94166666666667
"177",6.93
"178",5.078
"179",0.999999999999997
"180",2.01
"181",4
"182",4.96133333333333
"183",5.74683333333333
"184",2.565
"185",4.20466666666667
"186",8.8575
"187",2.10666666666667
"188",1.05
"189",5.95
"190",0.0399999999999992
"191",6.01
"192",1.045
"193",4.054
"194",7.13833333333333
"195",5.826
"196",0.0499999999999993
"197",8.7405
"198",6.96
"199",3.58783333333333
"200",8.84
"201",1.08
"202",8.45783333333333
"203",0.0899999999999992
"204",6.87583333333333
"205",8.96
"206",-1.19015908239817e-15
"207",7.678
"208",4.076
"209",5.85
"210",2.07
"211",0.359999999999999
"212",8.8
